ckpt,cohort,n,mean,p10,p50,p90,std
T3_SLOT1_step3500,DOR_REAL_DEV,50,0.45543535813689234,0.09598291963338852,0.37424610555171967,0.9166920065879822,0.32031281019414304
T3_SLOT1_step3500,DOR_FAKE_DEV,78,0.6736185696835701,0.4005117267370224,0.684557318687439,0.9299607038497925,0.20865095322198746
T3_SLOT1_step3500,DOR_REAL_LOCKBOX,100,0.2800932065304369,0.021894428133964538,0.24413932859897614,0.6050779819488529,0.24516966767101356
T3_SLOT1_step3500,NON_DOR_REAL_DEV,80,0.16503905272111297,0.006090396316722035,0.013953820336610079,0.6838990271091463,0.2946033616505832
T3_SLOT1_step3500,NON_DOR_FAKE_DEV,80,0.7624380533932709,0.19539820700883864,0.9888210892677307,0.9945590496063232,0.3305581952629276
T3_SLOT1_step4500,DOR_REAL_DEV,50,0.5764282542467117,0.15703311264514924,0.5885805785655975,0.9682682156562805,0.32359009548717876
T3_SLOT1_step4500,DOR_FAKE_DEV,78,0.7700373129202769,0.5229954361915589,0.8270416557788849,0.9690451800823212,0.200117467806631
T3_SLOT1_step4500,DOR_REAL_LOCKBOX,100,0.39342834292910994,0.02371028084307909,0.3540317863225937,0.821925848722458,0.3037116996066544
T3_SLOT1_step4500,NON_DOR_REAL_DEV,80,0.20582733497722075,0.004947425192221999,0.01878210064023733,0.8254045605659494,0.32985004891229014
T3_SLOT1_step4500,NON_DOR_FAKE_DEV,80,0.8341200028429739,0.41351093351840973,0.9922630488872528,0.9955471694469452,0.2829249543629315
