ckpt,layer,n,auc_raw_encoder,auc_residualized,auc_shortcut_only,auc_drop_after_residualize
S2_step4500,11,779,0.9835138698234502,0.9491621022873996,0.8301711132555012,0.034351767536050626
S3_step500,0,779,0.7457425554181334,0.8747366704268997,0.8301711132555012,-0.12899411500876634
S3_step500,3,779,0.9064653356347772,0.961468937303777,0.8301711132555012,-0.05500360166899987
S3_step500,6,779,0.9924432907022576,0.9598651752585727,0.8301711132555012,0.03257811544368483
S3_step500,9,779,0.9871155388232735,0.9495290647892684,0.8301711132555012,0.03758647403400517
S3_step500,11,779,0.9855797327969338,0.9587303097435339,0.8301711132555012,0.02684942305339988
S3_step2500,0,779,0.7457153730105877,0.8746755100099216,0.8301711132555012,-0.12896013699933395
S3_step2500,3,779,0.9107601560270192,0.9622844095301522,0.8301711132555012,-0.051524253503132944
S3_step2500,6,779,0.9936325210323879,0.9609728583660655,0.8301711132555012,0.032659662666322364
S3_step2500,9,779,0.9890318985552551,0.9512143740571103,0.8301711132555012,0.037817524498144794
S3_step2500,11,779,0.9916753876890876,0.9486252497383694,0.8301711132555012,0.043050137950718215
S3_step4500,0,779,0.7456745993992688,0.8746619188061486,0.8301711132555012,-0.1289873194068798
S3_step4500,3,779,0.9103728067194911,0.9621960667056282,0.8301711132555012,-0.05182325998613713
S3_step4500,6,779,0.9931704201041086,0.9600214741019613,0.8301711132555012,0.03314894600214735
S3_step4500,9,779,0.9874689101213696,0.9500455305326393,0.8301711132555012,0.03742337958873032
S3_step4500,11,779,0.9898949399948354,0.945614798102668,0.8301711132555012,0.044280141892167335
